model,rho_nominal,rho_label,rho_effective,N,eta,eta_index,steps,base_seed,realization,returncode,elapsed_s,output_path,source_run
voter,2.0,rho_2,,200,0.15,2,3000,1200211,11,0,1.8382,,final_fine_grid_steps3000_R20_v1
voter,2.0,rho_2,,200,0.15,2,3000,1200212,12,0,2.0051,,final_fine_grid_steps3000_R20_v1
voter,2.0,rho_2,,200,0.15,2,3000,1200213,13,0,1.8784,,final_fine_grid_steps3000_R20_v1
voter,2.0,rho_2,,200,0.15,2,3000,1200214,14,0,1.8651,,final_fine_grid_steps3000_R20_v1
voter,2.0,rho_2,,200,0.15,2,3000,1200215,15,0,1.8539,,final_fine_grid_steps3000_R20_v1
voter,2.0,rho_2,,200,0.15,2,3000,1200216,16,0,2.0843,,final_fine_grid_steps3000_R20_v1
voter,2.0,rho_2,,200,0.15,2,3000,1200217,17,0,1.8335,,final_fine_grid_steps3000_R20_v1
voter,2.0,rho_2,,200,0.15,2,3000,1200218,18,0,1.8307,,final_fine_grid_steps3000_R20_v1
voter,2.0,rho_2,,200,0.15,2,3000,1200219,19,0,1.9278,,final_fine_grid_steps3000_R20_v1
voter,2.0,rho_2,,200,0.2,3,3000,1200300,0,0,2.0447,,final_fine_grid_steps3000_R20_v1
voter,2.0,rho_2,,200,0.2,3,3000,1200301,1,0,2.0358,,final_fine_grid_steps3000_R20_v1
voter,2.0,rho_2,,200,0.2,3,3000,1200302,2,0,1.9068,,final_fine_grid_steps3000_R20_v1
voter,2.0,rho_2,,200,0.2,3,3000,1200303,3,0,2.1182,,final_fine_grid_steps3000_R20_v1
voter,2.0,rho_2,,200,0.2,3,3000,1200304,4,0,1.9453,,final_fine_grid_steps3000_R20_v1
voter,2.0,rho_2,,200,0.2,3,3000,1200305,5,0,1.9769,,final_fine_grid_steps3000_R20_v1
voter,2.0,rho_2,,200,0.2,3,3000,1200306,6,0,2.0329,,final_fine_grid_steps3000_R20_v1
voter,2.0,rho_2,,200,0.2,3,3000,1200307,7,0,2.0981,,final_fine_grid_steps3000_R20_v1
voter,2.0,rho_2,,200,0.2,3,3000,1200308,8,0,2.0511,,final_fine_grid_steps3000_R20_v1
voter,2.0,rho_2,,200,0.2,3,3000,1200309,9,0,1.9919,,final_fine_grid_steps3000_R20_v1
voter,2.0,rho_2,,200,0.2,3,3000,1200310,10,0,1.9417,,final_fine_grid_steps3000_R20_v1
voter,2.0,rho_2,,200,0.2,3,3000,1200311,11,0,1.976,,final_fine_grid_steps3000_R20_v1
voter,2.0,rho_2,,200,0.2,3,3000,1200312,12,0,1.9297,,final_fine_grid_steps3000_R20_v1
voter,2.0,rho_2,,200,0.2,3,3000,1200313,13,0,1.8431,,final_fine_grid_steps3000_R20_v1
