model,rho_label,eta,t,realizations,va_mean,va_stdev,va_stderr,S_mean,S_stdev,S_stderr
voter,rho_1_over_3pi,3,2200,20,0.3076345192115759,0.1442318280969494,0.032251217214384294,0.30454545454545456,0.07753964595105446,0.01733839192978241
voter,rho_1_over_3pi,3,2250,20,0.2809787798358241,0.125587897872419,0.028082307679403007,0.2909090909090909,0.07925270806437588,0.017721444263289025
voter,rho_1_over_3pi,3,2300,20,0.2242102704760359,0.10127232345811026,0.02264517994916811,0.3136363636363636,0.1015377631985849,0.02270453407953123
voter,rho_1_over_3pi,3,2350,20,0.25319600528392283,0.1545265067864186,0.034553177350001456,0.30454545454545456,0.09653072991634228,0.02158492740106139
voter,rho_1_over_3pi,3,2400,20,0.2770874542981139,0.11619237456545863,0.025981404799548306,0.3136363636363636,0.08849055606332629,0.019787089872435375
voter,rho_1_over_3pi,3,2450,20,0.2764333403369092,0.14042819481168184,0.03140069895565038,0.35454545454545455,0.12162807418417865,0.027196864184821073
voter,rho_1_over_3pi,3,2500,20,0.2807284314256528,0.12038294431823122,0.026918444682713708,0.3363636363636363,0.09577867048047944,0.021416761798890446
voter,rho_1_over_3pi,3,2550,20,0.36518886851909704,0.10213697317534398,0.022838521503614168,0.3136363636363636,0.10153776319858489,0.022704534079531227
voter,rho_1_over_3pi,3,2600,20,0.30731975025206976,0.16466537029050182,0.03682029615097363,0.3363636363636363,0.1,0.022360679774997897
voter,rho_1_over_3pi,3,2650,20,0.31836424849129835,0.13142106458693267,0.029386643409177175,0.34090909090909094,0.09033912233796268,0.020200441857535428
voter,rho_1_over_3pi,3,2700,20,0.34990713536970836,0.13568373049880444,0.030339804483608818,0.34090909090909094,0.09033912233796268,0.020200441857535428
voter,rho_1_over_3pi,3,2750,20,0.26741616805180884,0.15129299486351866,0.03383014210343542,0.3363636363636363,0.07660136157433053,0.017128585164924336
voter,rho_1_over_3pi,3,2800,20,0.3360808343900795,0.13516932685345126,0.030224780331720477,0.3318181818181818,0.07753964595105446,0.01733839192978241
voter,rho_1_over_3pi,3,2850,20,0.3207412053220952,0.17325188262983868,0.03874029867901343,0.35,0.09215061333051497,0.020605503557532975
voter,rho_1_over_3pi,3,2900,20,0.25519784520768585,0.1150521521099202,0.025726443307542743,0.35,0.09653072991634228,0.02158492740106139
voter,rho_1_over_3pi,3,2950,20,0.313658889997513,0.17378933242559902,0.03886047610679478,0.34090909090909094,0.08564292582462169,0.01915034039358263
voter,rho_1_over_3pi,3,3000,20,0.29057059281060166,0.16422633580231283,0.03672212505496789,0.35,0.10474289656184466,0.023421223687251365
voter,rho_1_over_3pi,4,0,20,0.31185579675678016,0.1349993608884229,0.030186774786554,0.18181818181818182,0.049792959773196914,0.01113404428537808
voter,rho_1_over_3pi,4,50,20,0.22394781338820707,0.1147951635914862,0.025668978927877204,0.2,0.07385489458759963,0.016514456476895405
voter,rho_1_over_3pi,4,100,20,0.2725481227785086,0.13516875942588616,0.030224653451059687,0.20454545454545453,0.06968049871252677,0.015581033182729642
voter,rho_1_over_3pi,4,150,20,0.2574161991755789,0.15519900623960298,0.03470355279921662,0.21363636363636362,0.06602654111969976,0.014763983426283373
voter,rho_1_over_3pi,4,200,20,0.28846747815202056,0.15904071284930052,0.03556258451210602,0.22272727272727272,0.0731521679065049,0.016357322014042344
voter,rho_1_over_3pi,4,250,20,0.25368943973322067,0.11935949109091132,0.026689593583905824,0.2363636363636364,0.07272727272727272,0.016262312563634834
voter,rho_1_over_3pi,4,300,20,0.2542232836397591,0.13951519610315466,0.031196546238086757,0.2363636363636364,0.08813963377120597,0.019708621262435267
voter,rho_1_over_3pi,4,350,20,0.26067443212955876,0.12387310525078712,0.027698868392474613,0.24545454545454545,0.08672174558335868,0.019391571825183217
voter,rho_1_over_3pi,4,400,20,0.2759686505799171,0.15256503278048952,0.03411457842866583,0.22272727272727272,0.05359011873887088,0.011983114842240059
voter,rho_1_over_3pi,4,450,20,0.2729770970326974,0.11682512024663573,0.026122891035106448,0.22272727272727272,0.06726658448613064,0.015041265552522087
voter,rho_1_over_3pi,4,500,20,0.28939323554736285,0.14031956268723403,0.03137640807416983,0.23181818181818184,0.06726658448613064,0.015041265552522087
voter,rho_1_over_3pi,4,550,20,0.20451363712542872,0.10921315923342881,0.02442080480834556,0.2363636363636364,0.07272727272727272,0.016262312563634834
voter,rho_1_over_3pi,4,600,20,0.3129994477409005,0.1134751631962049,0.025373817866459647,0.22272727272727272,0.0731521679065049,0.016357322014042344
voter,rho_1_over_3pi,4,650,20,0.30454927766702655,0.13964534647389482,0.031225648745713937,0.23181818181818184,0.07859825666268445,0.017575104481073817
voter,rho_1_over_3pi,4,700,20,0.29315764833148095,0.16048378102688662,0.03588526436623095,0.24545454545454545,0.07100226978096957,0.015876590178702705
voter,rho_1_over_3pi,4,750,20,0.33631111337968655,0.09973860625667927,0.022302230357102066,0.2363636363636364,0.07272727272727272,0.016262312563634834
voter,rho_1_over_3pi,4,800,20,0.2818941075896762,0.1326841800405361,0.02966908461094595,0.24545454545454545,0.07660136157433053,0.017128585164924336
voter,rho_1_over_3pi,4,850,20,0.27982246258652055,0.11948259737069049,0.026717120984910157,0.24545454545454545,0.0818181818181818,0.018295101634089185
voter,rho_1_over_3pi,4,900,20,0.29649098181583994,0.16607597917097508,0.03713571788561394,0.2545454545454545,0.09359663764533636,0.020928844424038796
voter,rho_1_over_3pi,4,950,20,0.28605972181185263,0.15190556358252022,0.03396711663309317,0.2545454545454545,0.08430562268632458,0.01885131032120702
voter,rho_1_over_3pi,4,1000,20,0.23166842824909403,0.13583882419096188,0.03037448448746336,0.24545454545454545,0.08672174558335868,0.019391571825183217
voter,rho_1_over_3pi,4,1050,20,0.23825697059277337,0.09022440471464163,0.02017479021713912,0.24545454545454545,0.0818181818181818,0.018295101634089185
voter,rho_1_over_3pi,4,1100,20,0.23603406332346283,0.13423083707262728,0.030014927637109348,0.2409090909090909,0.0826972972666375,0.0184916778243709
voter,rho_1_over_3pi,4,1150,20,0.27904546778187694,0.11084762366991346,0.02478628216702412,0.2545454545454545,0.08430562268632458,0.01885131032120702
voter,rho_1_over_3pi,4,1200,20,0.2887703465924325,0.11645462914664872,0.026040046706643488,0.24545454545454545,0.0818181818181818,0.018295101634089185
voter,rho_1_over_3pi,4,1250,20,0.2808284899307236,0.15436885794357041,0.034517925997083185,0.2409090909090909,0.07753964595105445,0.017338391929782405
voter,rho_1_over_3pi,4,1300,20,0.23094101069106357,0.10326151788737542,0.02308997734559819,0.2545454545454545,0.09359663764533636,0.020928844424038796
voter,rho_1_over_3pi,4,1350,20,0.26662699711546956,0.1288058580451857,0.028801865448922343,0.25,0.07537783614444091,0.016854996561581053
voter,rho_1_over_3pi,4,1400,20,0.28667283875472654,0.11706875878570909,0.026177370268637125,0.23181818181818178,0.0731521679065049,0.016357322014042344
voter,rho_1_over_3pi,4,1450,20,0.2812612420895074,0.12515486229998432,0.02798547798173906,0.2545454545454545,0.07385489458759964,0.01651445647689541
voter,rho_1_over_3pi,4,1500,20,0.2772141937311582,0.11189147863723124,0.025019695233581458,0.2590909090909091,0.07201354326252209,0.016102717803562136
voter,rho_1_over_3pi,4,1550,20,0.25157653736694274,0.13717240267523576,0.030672681701880113,0.2681818181818182,0.07859825666268447,0.01757510448107382
voter,rho_1_over_3pi,4,1600,20,0.28129031293993007,0.18702979669028505,0.041821133921744254,0.2636363636363636,0.07551476239016432,0.01688561420091519
voter,rho_1_over_3pi,4,1650,20,0.23310348694439048,0.14215344790655451,0.03178647727550311,0.2636363636363636,0.07551476239016432,0.01688561420091519
voter,rho_1_over_3pi,4,1700,20,0.22807485261563487,0.14681897270541652,0.032829720335599756,0.25,0.07537783614444091,0.016854996561581053
voter,rho_1_over_3pi,4,1750,20,0.22739075656255497,0.12275477621686466,0.027448802418368383,0.2545454545454545,0.07385489458759964,0.01651445647689541
voter,rho_1_over_3pi,4,1800,20,0.31288370281330097,0.1314016749798115,0.02938230776121918,0.2590909090909091,0.0826972972666375,0.0184916778243709
voter,rho_1_over_3pi,4,1850,20,0.21577500726221727,0.10824655426985419,0.024204665367751406,0.25,0.07537783614444091,0.016854996561581053
voter,rho_1_over_3pi,4,1900,20,0.2801821873157685,0.13954109722848362,0.031202337905779687,0.2636363636363636,0.09045340337332908,0.02022599587389726
voter,rho_1_over_3pi,4,1950,20,0.27776358846272076,0.16121017412451052,0.036047690800698313,0.2545454545454545,0.08907235428302465,0.019917183909278765
voter,rho_1_over_3pi,4,2000,20,0.22722527151547434,0.13155040030164536,0.029415563754178784,0.2545454545454545,0.08907235428302465,0.019917183909278765
voter,rho_1_over_3pi,4,2050,20,0.2425194747035416,0.1345305187204997,0.030081938490734535,0.2636363636363636,0.09917011013305194,0.022175110759364482
voter,rho_1_over_3pi,4,2100,20,0.21700442241074835,0.11003073210369706,0.024603619659793505,0.2727272727272727,0.09534625892455922,0.02132007163556104
voter,rho_1_over_3pi,4,2150,20,0.24504614052043228,0.10402698610022258,0.023261141241452343,0.25,0.06968049871252677,0.015581033182729642
voter,rho_1_over_3pi,4,2200,20,0.2803574689846831,0.1606927503873415,0.03593199133575012,0.25,0.06968049871252677,0.015581033182729642
voter,rho_1_over_3pi,4,2250,20,0.25548763340559993,0.13438554286260435,0.030049520903399497,0.2363636363636364,0.05300865358950272,0.011853095282186631
voter,rho_1_over_3pi,4,2300,20,0.24002109164815683,0.10504690105222499,0.023489201157846924,0.2409090909090909,0.05202510519208907,0.011633167174608841
voter,rho_1_over_3pi,4,2350,20,0.3008490139892269,0.14688171995707822,0.03284375104761144,0.2636363636363636,0.0857634648368782,0.019177293736117255
voter,rho_1_over_3pi,4,2400,20,0.29108002132099664,0.13571194757460409,0.030346114013570243,0.2727272727272727,0.1036523113726489,0.023177361425421747
voter,rho_1_over_3pi,4,2450,20,0.2898426638338909,0.1380725946445225,0.030873970745492575,0.2772727272727272,0.09738311493467522,0.021775526485460876
voter,rho_1_over_3pi,4,2500,20,0.2838626323536055,0.1282862570172728,0.02868567912696314,0.24545454545454545,0.07100226978096957,0.015876590178702705
voter,rho_1_over_3pi,4,2550,20,0.32395606012665806,0.13664157475922992,0.030553984971425755,0.2545454545454545,0.08430562268632456,0.018851310321207015
voter,rho_1_over_3pi,4,2600,20,0.2459498119139067,0.14379470273199418,0.03215347301131137,0.25,0.04874456952165276,0.010899617098437996
voter,rho_1_over_3pi,4,2650,20,0.22913638488701613,0.11348928807782058,0.025376976286006325,0.2636363636363636,0.06982859770789643,0.015614149124834241
voter,rho_1_over_3pi,4,2700,20,0.2632684251826906,0.12166511401221033,0.027205146542156448,0.2818181818181818,0.09491187735373227,0.02122294096350682
voter,rho_1_over_3pi,4,2750,20,0.2798392947845325,0.11950043014372534,0.02672110851418348,0.2818181818181818,0.08080176743014171,0.018067824467592534
voter,rho_1_over_3pi,4,2800,20,0.24159983610028474,0.12844908107166997,0.028722087692363556,0.2863636363636363,0.0826972972666375,0.0184916778243709
voter,rho_1_over_3pi,4,2850,20,0.2789088900198347,0.14075316514473324,0.03147336453118775,0.2681818181818182,0.08369069381600894,0.018713808045671725
voter,rho_1_over_3pi,4,2900,20,0.2801283785075446,0.10925046112487204,0.0244291457648412,0.2818181818181818,0.08080176743014171,0.018067824467592534
voter,rho_1_over_3pi,4,2950,20,0.3369402910308835,0.14107392935616928,0.03154508958933976,0.2909090909090909,0.08430562268632458,0.01885131032120702
voter,rho_1_over_3pi,4,3000,20,0.26543572739411736,0.12367662873937796,0.027654934908925323,0.2818181818181818,0.08576346483687822,0.01917729373611726
voter,rho_1_over_3pi,5,0,20,0.2919016137792677,0.12355065479167891,0.027626766277880414,0.20454545454545453,0.06968049871252677,0.015581033182729642
voter,rho_1_over_3pi,5,50,20,0.3226428598271136,0.14934126047284574,0.03339372102627854,0.22272727272727272,0.06726658448613064,0.015041265552522087
voter,rho_1_over_3pi,5,100,20,0.2917775744556135,0.17187404141611698,0.03843220401740518,0.21363636363636362,0.06602654111969977,0.014763983426283376
voter,rho_1_over_3pi,5,150,20,0.3189360611993595,0.17597016357488512,0.039348124776520055,0.21363636363636362,0.06602654111969977,0.014763983426283376
