model,rho_nominal,rho_label,rho_effective,N,eta,eta_index,steps,base_seed,realization,returncode,elapsed_s,output_path,source_run
vicsek,0.3183098861837907,rho_1_over_pi,,32,0.5,7,3000,1250713,13,0,0.3869,,vicsek_lowrho_cluster_study_1
vicsek,0.3183098861837907,rho_1_over_pi,,32,0.5,7,3000,1250714,14,0,0.3815,,vicsek_lowrho_cluster_study_1
vicsek,0.3183098861837907,rho_1_over_pi,,32,0.5,7,3000,1250715,15,0,0.3801,,vicsek_lowrho_cluster_study_1
vicsek,0.3183098861837907,rho_1_over_pi,,32,0.5,7,3000,1250716,16,0,0.3571,,vicsek_lowrho_cluster_study_1
vicsek,0.3183098861837907,rho_1_over_pi,,32,0.5,7,3000,1250717,17,0,0.3742,,vicsek_lowrho_cluster_study_1
vicsek,0.3183098861837907,rho_1_over_pi,,32,0.5,7,3000,1250718,18,0,0.3522,,vicsek_lowrho_cluster_study_1
vicsek,0.3183098861837907,rho_1_over_pi,,32,0.5,7,3000,1250719,19,0,0.3856,,vicsek_lowrho_cluster_study_1
vicsek,0.3183098861837907,rho_1_over_pi,,32,1.0,8,3000,1250800,0,0,0.3811,,vicsek_lowrho_cluster_study_1
vicsek,0.3183098861837907,rho_1_over_pi,,32,1.0,8,3000,1250801,1,0,0.348,,vicsek_lowrho_cluster_study_1
vicsek,0.3183098861837907,rho_1_over_pi,,32,1.0,8,3000,1250802,2,0,0.3982,,vicsek_lowrho_cluster_study_1
vicsek,0.3183098861837907,rho_1_over_pi,,32,1.0,8,3000,1250803,3,0,0.3536,,vicsek_lowrho_cluster_study_1
vicsek,0.3183098861837907,rho_1_over_pi,,32,1.0,8,3000,1250804,4,0,0.3348,,vicsek_lowrho_cluster_study_1
vicsek,0.3183098861837907,rho_1_over_pi,,32,1.0,8,3000,1250805,5,0,0.383,,vicsek_lowrho_cluster_study_1
vicsek,0.3183098861837907,rho_1_over_pi,,32,1.0,8,3000,1250806,6,0,0.4011,,vicsek_lowrho_cluster_study_1
vicsek,0.3183098861837907,rho_1_over_pi,,32,1.0,8,3000,1250807,7,0,0.3647,,vicsek_lowrho_cluster_study_1
vicsek,0.3183098861837907,rho_1_over_pi,,32,1.0,8,3000,1250808,8,0,0.3484,,vicsek_lowrho_cluster_study_1
vicsek,0.3183098861837907,rho_1_over_pi,,32,1.0,8,3000,1250809,9,0,0.3408,,vicsek_lowrho_cluster_study_1
vicsek,0.3183098861837907,rho_1_over_pi,,32,1.0,8,3000,1250810,10,0,0.3191,,vicsek_lowrho_cluster_study_1
vicsek,0.3183098861837907,rho_1_over_pi,,32,1.0,8,3000,1250811,11,0,0.3571,,vicsek_lowrho_cluster_study_1
vicsek,0.3183098861837907,rho_1_over_pi,,32,1.0,8,3000,1250812,12,0,0.396,,vicsek_lowrho_cluster_study_1
