model,rho_label,eta,realizations,va_mean,va_stdev_between_realizations,va_stderr,S_mean,S_stdev_between_realizations,S_stderr,t_eq_heuristic_estimate,source_run
vicsek,rho_4,6,20,0.045198159525027856,0.0004809248772278156,0.00010753807175521363,0.9999945036642238,1.6986267670256243e-05,3.798244919469994e-06,0,vicsek_eta0_6_deta0p5_steps3000_R20_v1
vicsek,rho_8,0,20,1.0000000000000007,7.605260166742845e-15,1.7005878719408387e-15,1.0,0.0,0.0,150,vicsek_eta0_6_deta0p5_steps3000_R20_v1
vicsek,rho_8,0.050000000000000003,20,0.9998834948185177,2.7692684332687903e-06,6.192272464733354e-07,1.0,0.0,0.0,200,final_fine_grid_steps3000_R20_v1
vicsek,rho_8,0.10000000000000001,20,0.9995352091102442,1.0157780150935284e-05,2.271348691798937e-06,0.9999945036642238,2.458036084527365e-05,5.496335776150607e-06,150,final_fine_grid_steps3000_R20_v1
vicsek,rho_8,0.14999999999999999,20,0.9989426405696632,2.771801053971825e-05,6.197935576786564e-06,0.9999829280479681,5.294496283967834e-05,1.1838853597572106e-05,150,final_fine_grid_steps3000_R20_v1
vicsek,rho_8,0.20000000000000001,20,0.9981277324307136,3.438999362123973e-05,7.689836348287619e-06,0.9999829280479681,4.310465858246839e-05,9.638494673731905e-06,150,final_fine_grid_steps3000_R20_v1
vicsek,rho_8,0.29999999999999999,20,0.995747467624882,0.00016332545024536074,3.652068092043863e-05,0.9999603597601598,8.572715580150238e-05,1.916917478898748e-05,150,final_fine_grid_steps3000_R20_v1
vicsek,rho_8,0.40000000000000002,20,0.9924512822089699,0.00014771215102250829,3.3029441078904356e-05,0.999965106595603,0.00013406758976452983,2.997842442930437e-05,150,final_fine_grid_steps3000_R20_v1
vicsek,rho_8,0.5,20,0.9883167657307768,0.00023064114193220193,5.157292717685807e-05,0.9998966522318454,0.0002632492708648807,5.8864326468112815e-05,200,vicsek_eta0_6_deta0p5_steps3000_R20_v1
vicsek,rho_8,1,20,0.9527197144348387,0.0007165179449950716,0.00016021828321074354,0.9998933627581612,0.00016071822814724937,3.593768833605697e-05,150,vicsek_eta0_6_deta0p5_steps3000_R20_v1
vicsek,rho_8,2,20,0.819848661359184,0.003624200254863661,0.0008103958133947208,0.9996083027981346,0.0003079280394096027,6.885480282981058e-05,200,vicsek_eta0_6_deta0p5_steps3000_R20_v1
vicsek,rho_8,3,20,0.612644759889786,0.009008258497486533,0.0020143078359270003,0.999290473017988,0.0007529925925547267,0.00016837426235061709,150,vicsek_eta0_6_deta0p5_steps3000_R20_v1
vicsek,rho_8,4,20,0.35926276606801727,0.011991144908669841,0.002681301514383627,0.9994096019320453,0.0003889565697960549,8.697333303591202e-05,1350,vicsek_eta0_6_deta0p5_steps3000_R20_v1
vicsek,rho_8,5,20,0.07224351089165068,0.0027728050842852174,0.000620018065681878,0.999992713191206,2.4902675788661948e-05,5.56840758850863e-06,50,vicsek_eta0_6_deta0p5_steps3000_R20_v1
vicsek,rho_8,6,20,0.03217520476665518,0.0005953861475711396,0.00013313238988307895,1.0,0.0,0.0,0,vicsek_eta0_6_deta0p5_steps3000_R20_v1
