model,rho_label,eta,t,realizations,va_mean,va_stdev,va_stderr,S_mean,S_stdev,S_stderr,source_run
vicsek,rho_1_over_pi,3.2000000000000002,400,20,0.2337080331736951,0.13180938537806863,0.029473474577782828,0.2796875,0.08117484504912836,0.018151247159286326,vicsek_lowrho_dense_eta_grid_steps3000_R20_v1
vicsek,rho_1_over_pi,3.2000000000000002,450,20,0.2592140453688302,0.1426588456223356,0.031899487640319066,0.2765625,0.0840125316173129,0.018785773165816196,vicsek_lowrho_dense_eta_grid_steps3000_R20_v1
vicsek,rho_1_over_pi,3.2000000000000002,500,20,0.2340489994262757,0.09020860435593957,0.020171257149526448,0.2765625,0.07608268014962406,0.017012604472493326,vicsek_lowrho_dense_eta_grid_steps3000_R20_v1
vicsek,rho_1_over_pi,3.2000000000000002,550,20,0.2056728787747381,0.1109519882912279,0.02480961880579463,0.275,0.07234898064243891,0.01617772388193098,vicsek_lowrho_dense_eta_grid_steps3000_R20_v1
vicsek,rho_1_over_pi,3.2000000000000002,600,20,0.2754609066360002,0.1263988603290057,0.02826364439741582,0.2734375,0.06765823467065928,0.015128841196122723,vicsek_lowrho_dense_eta_grid_steps3000_R20_v1
vicsek,rho_1_over_pi,3.2000000000000002,650,20,0.22341321195454983,0.1201220370669309,0.026860104047740696,0.2859375,0.060333545550961945,0.01349099091755309,vicsek_lowrho_dense_eta_grid_steps3000_R20_v1
vicsek,rho_1_over_pi,3.2000000000000002,700,20,0.2236552516236395,0.13832561920187875,0.030930548756515106,0.2890625,0.09726484060928697,0.02174907954230477,vicsek_lowrho_dense_eta_grid_steps3000_R20_v1
vicsek,rho_1_over_pi,3.2000000000000002,750,20,0.2905834393183157,0.12976603281063806,0.029016567053505478,0.2984375,0.09136283691277323,0.020429351395418797,vicsek_lowrho_dense_eta_grid_steps3000_R20_v1
vicsek,rho_1_over_pi,3.2000000000000002,800,20,0.25660594471681447,0.11590595961808207,0.025917360470337707,0.2875,0.09457966219013472,0.021148655394610787,vicsek_lowrho_dense_eta_grid_steps3000_R20_v1
vicsek,rho_1_over_pi,3.2000000000000002,850,20,0.2853979077447314,0.1089640127674038,0.02436509396490699,0.321875,0.08677152110571763,0.019402701970344233,vicsek_lowrho_dense_eta_grid_steps3000_R20_v1
vicsek,rho_1_over_pi,3.2000000000000002,900,20,0.239702633827534,0.09954047458571415,0.022257926768624703,0.3203125,0.08493736203079302,0.018992571533036278,vicsek_lowrho_dense_eta_grid_steps3000_R20_v1
vicsek,rho_1_over_pi,3.2000000000000002,950,20,0.22360993956199873,0.08534380842922654,0.01908345571064701,0.2875,0.09812699042567238,0.021941862101927445,vicsek_lowrho_dense_eta_grid_steps3000_R20_v1
vicsek,rho_1_over_pi,3.2000000000000002,1000,20,0.24733866989021105,0.08326949470953594,0.018619625062258147,0.2921875,0.08630602799775923,0.01929861454709897,vicsek_lowrho_dense_eta_grid_steps3000_R20_v1
vicsek,rho_1_over_pi,3.2000000000000002,1050,20,0.21779696895544515,0.11328882596658349,0.025332151595242398,0.296875,0.0897587913521567,0.020070675904164264,vicsek_lowrho_dense_eta_grid_steps3000_R20_v1
vicsek,rho_1_over_pi,3.2000000000000002,1100,20,0.2976973419789212,0.14462182110061206,0.0323384223010782,0.3203125,0.0992525778947328,0.02219355111147155,vicsek_lowrho_dense_eta_grid_steps3000_R20_v1
vicsek,rho_1_over_pi,3.2000000000000002,1150,20,0.22386892930572833,0.10982594857602117,0.024557828670937955,0.3046875,0.09974332292815394,0.022303285036906557,vicsek_lowrho_dense_eta_grid_steps3000_R20_v1
