model,rho_label,eta,t,va_mean,va_stdev
vicsek,rho_2,3,450,0.3576697819223009,0.19886950070183698
vicsek,rho_2,3,475,0.37884391957759483,0.18033846757344454
vicsek,rho_2,3,500,0.44882929673010025,0.07081231020644498
vicsek,rho_2,3,525,0.4154961691234409,0.14768025807650692
vicsek,rho_2,3,550,0.41485832556126373,0.23605948052754608
vicsek,rho_2,3,575,0.3781892507764084,0.11855302907555867
vicsek,rho_2,3,600,0.3282221626249188,0.14998356710102037
vicsek,rho_2,4,0,0.10041910550059839,0.02348045921667657
vicsek,rho_2,4,25,0.12797252582197663,0.0642800527849877
vicsek,rho_2,4,50,0.1024909598213296,0.020574025747298563
vicsek,rho_2,4,75,0.08475095986848724,0.006007335310410821
vicsek,rho_2,4,100,0.10867486166276558,0.05077521513793336
vicsek,rho_2,4,125,0.10344463683974171,0.03308531681334572
vicsek,rho_2,4,150,0.15394408696662384,0.05768493596907734
vicsek,rho_2,4,175,0.10906390924576508,0.03637913765967777
vicsek,rho_2,4,200,0.13371441060924763,0.07391931628947247
vicsek,rho_2,4,225,0.07397704924972144,0.015399119791231987
vicsek,rho_2,4,250,0.16576629696822792,0.1439200615638253
vicsek,rho_2,4,275,0.17254049355411313,0.08720951787945873
vicsek,rho_2,4,300,0.10992675769975215,0.005534163182809334
vicsek,rho_2,4,325,0.14607634772374442,0.06916945664970507
vicsek,rho_2,4,350,0.11001431499803431,0.04473190221611194
vicsek,rho_2,4,375,0.10747973636370194,0.06233204459305522
vicsek,rho_2,4,400,0.17269200765318438,0.007048597810447787
vicsek,rho_2,4,425,0.14856960644354258,0.07262059783922316
vicsek,rho_2,4,450,0.19644810493991371,0.09121796215697577
vicsek,rho_2,4,475,0.2071896262834181,0.08541256765399287
vicsek,rho_2,4,500,0.15809483696200888,0.041715236406741914
vicsek,rho_2,4,525,0.12649843348203746,0.04885881617034141
vicsek,rho_2,4,550,0.21264504189115452,0.05984012213331979
vicsek,rho_2,4,575,0.18024880234898596,0.03442439072772234
vicsek,rho_2,4,600,0.20568754978271817,0.0683661493963741
vicsek,rho_2,6,0,0.06020988777359021,0.026483736033399173
