model,rho_label,eta,t,va_mean,va_stdev
voter,rho_2,0.20000000000000001,4600,0.6702586193976374,0.23217751413362855
voter,rho_2,0.20000000000000001,4650,0.6471965198899343,0.20712535784891034
voter,rho_2,0.20000000000000001,4700,0.6348594632236877,0.21947290591290763
voter,rho_2,0.20000000000000001,4750,0.6199956534152126,0.22336285193352473
voter,rho_2,0.20000000000000001,4800,0.6493381394552931,0.24764471651282133
voter,rho_2,0.20000000000000001,4850,0.6990363662210686,0.21588619208407014
voter,rho_2,0.20000000000000001,4900,0.6632205550499128,0.22583160949962783
voter,rho_2,0.20000000000000001,4950,0.7326230835506913,0.1601465556487089
voter,rho_2,0.20000000000000001,5000,0.7069214617932299,0.23501980992360103
voter,rho_4,0,0,0.04129096194500265,0.01891444573763811
voter,rho_4,0,50,0.27791166595736694,0.15487535692737442
voter,rho_4,0,100,0.4155851100595713,0.19538713347543807
voter,rho_4,0,150,0.5131283930859676,0.22996167360283196
voter,rho_4,0,200,0.6139659521247238,0.27209572397387705
voter,rho_4,0,250,0.6983921607101202,0.22481640569662317
voter,rho_4,0,300,0.7483622225440256,0.2358659673645908
voter,rho_4,0,350,0.7684099378099436,0.2301513856252432
voter,rho_4,0,400,0.7668038771157587,0.2682749356006747
voter,rho_4,0,450,0.8110110135630348,0.24559704791222614
voter,rho_4,0,500,0.8027979801725411,0.2628801236437154
voter,rho_4,0,550,0.8477947424365391,0.19921253622829077
voter,rho_4,0,600,0.864270128997316,0.18408829800936166
voter,rho_4,0,650,0.8849050585389904,0.17954484614677566
voter,rho_4,0,700,0.8901517308760674,0.16194951204376226
voter,rho_4,0,750,0.8616404712990325,0.23549588062188084
voter,rho_4,0,800,0.9148325947597474,0.1514602366137737
voter,rho_4,0,850,0.9091415826041775,0.1994185371332937
voter,rho_4,0,900,0.923939859792239,0.16497567858092252
voter,rho_4,0,950,0.9449531614460465,0.12490452864459826
voter,rho_4,0,1000,0.9675160430405256,0.08066532631756611
voter,rho_4,0,1050,0.9739730189353454,0.09368754799544633
voter,rho_4,0,1100,0.9724286997761388,0.09356726658692845
voter,rho_4,0,1150,0.9515322431254576,0.18184327787646792
voter,rho_4,0,1200,0.9479997487753465,0.20225891360923678
voter,rho_4,0,1250,0.9590272161906549,0.15199400228036164
voter,rho_4,0,1300,0.9722434848991741,0.09527907845497019
voter,rho_4,0,1350,0.9703134668150131,0.10196723976545984
voter,rho_4,0,1400,0.968575879868472,0.10923694770568917
voter,rho_4,0,1450,0.9866770223744016,0.03998399489863957
voter,rho_4,0,1500,0.9924019604068326,0.027926985218629415
voter,rho_4,0,1550,0.9929861677236562,0.030572586099523312
voter,rho_4,0,1600,0.9931195559126944,0.029991160463244345
voter,rho_4,0,1650,0.9938158386929672,0.026956134187907963
voter,rho_4,0,1700,0.995980061697758,0.01752250481873912
voter,rho_4,0,1750,0.997158840267242,0.012384328157546146
voter,rho_4,0,1800,0.9973717680478773,0.011456197479484974
voter,rho_4,0,1850,0.9963059823127068,0.01610184979456024
voter,rho_4,0,1900,0.9939721671977948,0.02627471403336937
voter,rho_4,0,1950,0.9935628586260767,0.028058848734213312
voter,rho_4,0,2000,0.9934065615606948,0.028740131847384907
voter,rho_4,0,2050,0.9952524642022634,0.020694028773172467
voter,rho_4,0,2100,0.9986223683066051,0.006004957332924567
voter,rho_4,0,2150,0.9994217281771572,0.0025206284376663455
voter,rho_4,0,2200,0.9992334349417351,0.0033413796226227166
voter,rho_4,0,2250,0.9999999999999993,4.952216973049227e-15
voter,rho_4,0,2300,0.9999999999999993,4.952216973049227e-15
