model,rho_label,eta,realizations,va_mean,va_stdev_between_realizations,va_stderr,S_mean,S_stdev_between_realizations,S_stderr,t_eq_heuristic_estimate,source_run
voter,rho_8,0.050000000000000003,20,0.9252445697029044,0.031452122085270595,0.0070329083019287485,0.9999957944703531,1.1572399475237842e-05,2.587667188941471e-06,1700,final_fine_grid_steps3000_R20_v1
voter,rho_8,0.10000000000000001,20,0.7758503612458385,0.14092540261998385,0.031511878001481086,0.9998460193204529,0.00033055146808121604,7.39135552691951e-05,2850,final_fine_grid_steps3000_R20_v1
voter,rho_8,0.14999999999999999,20,0.6516878945528678,0.1091582368379707,0.024408523787372415,0.9997464606928714,0.0007283353623737266,0.0001628607380684595,sin_evidencia,final_fine_grid_steps3000_R20_v1
voter,rho_8,0.20000000000000001,20,0.4941149283775618,0.0735284079629786,0.016441451848255698,0.9994693954030647,0.0006339170367079527,0.00014174815861742114,3000,final_fine_grid_steps3000_R20_v1
voter,rho_8,0.29999999999999999,20,0.35534943001922176,0.04726637514733426,0.010569082787944604,0.999814915056629,0.00031559127240196204,7.056835381964404e-05,2950,final_fine_grid_steps3000_R20_v1
voter,rho_8,0.40000000000000002,20,0.2889123313813538,0.04159086024861957,0.009299999075860715,0.999784352098601,0.0002524797137755939,5.6456180294191804e-05,sin_evidencia,final_fine_grid_steps3000_R20_v1
voter,rho_8,0.5,20,0.23420671310023825,0.0316792653021821,0.007083699069292958,0.9997924300466355,0.00022584106100636135,5.04995964520901e-05,2900,final_voter_base_coarse_v1
voter,rho_8,1,20,0.11010721323569514,0.004826251854553358,0.0010791827223315736,0.9998263241172551,0.00044572739953992755,9.966767648054864e-05,50,final_voter_base_coarse_v1
voter,rho_8,2,20,0.05786714543711059,0.002234415931020564,0.0004996305911770462,0.9999985426382411,5.210339347440591e-06,1.1650672966719057e-06,0,final_voter_base_coarse_v1
voter,rho_8,3,20,0.04137607832709607,0.0008540967159564171,0.0001909818316237878,1.0,0.0,0.0,0,final_voter_base_coarse_v1
voter,rho_8,4,20,0.035041910423864606,0.0006946816600732653,0.00015533554146462226,1.0,0.0,0.0,0,final_voter_base_coarse_v1
voter,rho_8,5,20,0.03245194734921744,0.0005454597336183943,0.0001219685043359657,1.0,0.0,0.0,0,final_voter_base_coarse_v1
voter,rho_8,6,20,0.03143196509169636,0.0004238465002969611,9.477495866893898e-05,1.0,0.0,0.0,0,final_voter_base_coarse_v1
