model,rho_label,rho_nominal,N,eta,base_seed,realization,steps,va_t0,S_t0,t_window_start,va_window_mean,va_window_stdev,S_window_mean,S_window_stdev
vicsek,rho_4,4,400,1,2030019,19,3000,0.032767394160128915,1.0,1500,0.9420002604884822,0.008016028424480143,0.9995253164556961,0.0026281971709791164
vicsek,rho_4,4,400,3,2030100,0,3000,0.06754540678130531,1.0,1500,0.5525434127238184,0.08827305490117897,0.9949600266489007,0.0045708648921236
vicsek,rho_4,4,400,3,2030101,1,3000,0.05824489283381944,1.0,1500,0.54573813847236,0.06763246875598927,0.9894003997335109,0.01573902036337631
vicsek,rho_4,4,400,3,2030102,2,3000,0.04194002454455168,1.0,1500,0.5286960226218171,0.12170603850131194,0.9925366422385078,0.0101236685054669
vicsek,rho_4,4,400,3,2030103,3,3000,0.04311697671457196,1.0,1500,0.5423725332430928,0.07369430745817883,0.9978580946035976,0.004096501989260122
vicsek,rho_4,4,400,3,2030104,4,3000,0.03621345534976956,1.0,1500,0.5820204171312364,0.044785520348923025,0.9910692871419055,0.010041844302724538
vicsek,rho_4,4,400,3,2030105,5,3000,0.06169166532086378,1.0,1500,0.5623127692108043,0.05463242572366584,0.9967621585609594,0.005360215088996716
vicsek,rho_4,4,400,3,2030106,6,3000,0.02858271561436674,1.0,1500,0.5102406402589375,0.12006895988386844,0.9881528980679547,0.03181349882451313
vicsek,rho_4,4,400,3,2030107,7,3000,0.002776245009358921,1.0,1500,0.5658327977881176,0.05430345164486186,0.9946702198534311,0.012819839066950002
vicsek,rho_4,4,400,3,2030108,8,3000,0.03331219651783566,1.0,1500,0.5456023162024495,0.08494819685801108,0.993514323784144,0.010141797538941514
vicsek,rho_4,4,400,3,2030109,9,3000,0.028386107891805325,1.0,1500,0.5678282764393249,0.07748959901279916,0.9925666222518321,0.0057596391282746726
vicsek,rho_4,4,400,3,2030110,10,3000,0.024173948189302723,1.0,1500,0.5460949284157182,0.08135792386340607,0.9937025316455697,0.006542126614443128
vicsek,rho_4,4,400,3,2030111,11,3000,0.023775035824447545,1.0,1500,0.5742548784258735,0.0521122624074601,0.9918537641572286,0.010895853388986644
vicsek,rho_4,4,400,3,2030112,12,3000,0.10415383531789557,1.0,1500,0.5042183987861979,0.14299747685750344,0.9950849433710859,0.006657131630496753
vicsek,rho_4,4,400,3,2030113,13,3000,0.08056406104962605,1.0,1500,0.5514681966862853,0.07485380603652932,0.9944287141905397,0.009024408843553577
vicsek,rho_4,4,400,3,2030114,14,3000,0.07166887002089128,1.0,1500,0.5387640359583407,0.07839356959047238,0.9939506995336442,0.01180806000110377
vicsek,rho_4,4,400,3,2030115,15,3000,0.05634352344200242,1.0,1500,0.5813469539597099,0.052342989471506465,0.9791055962691539,0.024287899743389296
vicsek,rho_4,4,400,3,2030116,16,3000,0.056298974960784835,1.0,1500,0.5734293908300453,0.0606704582085439,0.9885809460359761,0.025276814115242883
vicsek,rho_4,4,400,3,2030117,17,3000,0.02357062344549131,1.0,1500,0.5344049846775808,0.10511452826032805,0.992576615589607,0.00853983842028839
vicsek,rho_4,4,400,3,2030118,18,3000,0.02830112886198842,1.0,1500,0.5806111037167344,0.050341537293201614,0.9894487008660894,0.012061773324321257
vicsek,rho_4,4,400,3,2030119,19,3000,0.0356854519571039,1.0,1500,0.551674514962333,0.05685550834628709,0.9914540306462359,0.026236831068938822
vicsek,rho_4,4,400,5,2030200,0,3000,0.0782661512263859,1.0,1500,0.06572432455708793,0.03380427063585516,0.9999183877415057,0.00044426353158827684
vicsek,rho_4,4,400,5,2030201,1,3000,0.06678173250961905,1.0,1500,0.06692381803934462,0.033704054994472765,0.9999583610926049,0.00031994291659390633
vicsek,rho_4,4,400,5,2030202,2,3000,0.015486908265963282,1.0,1500,0.06673508361051711,0.034878323213851294,0.9992804796802133,0.0011318530420866728
vicsek,rho_4,4,400,5,2030203,3,3000,0.07494991321899945,1.0,1500,0.06431503301426772,0.0332614752168743,1.0,0.0
vicsek,rho_4,4,400,5,2030204,4,3000,0.055597040485967225,1.0,1500,0.0706970024450325,0.036791120817707273,0.9998051299133911,0.0007899900486250618
vicsek,rho_4,4,400,5,2030205,5,3000,0.04504912391057896,1.0,1500,0.06731377373527282,0.034237104188714,0.9999733510992672,0.0002567334959093575
vicsek,rho_4,4,400,5,2030206,6,3000,0.028582238904735612,1.0,1500,0.06508509385857683,0.034184388317225985,0.9993454363757495,0.0014716148927354884
vicsek,rho_4,4,400,5,2030207,7,3000,0.04958219357924361,1.0,1500,0.06679792844909463,0.033378009515622226,0.9999433710859427,0.0003719750680300004
vicsek,rho_4,4,400,5,2030208,8,3000,0.019785374682473333,1.0,1500,0.062114106910835826,0.03366042958559103,0.9997534976682213,0.0009773566088523177
vicsek,rho_4,4,400,5,2030209,9,3000,0.08078055715295658,1.0,1500,0.06433093445956076,0.03311288382401078,0.9997684876748834,0.0007246950090283227
vicsek,rho_4,4,400,5,2030210,10,3000,0.02279484559253238,1.0,1500,0.06170742506181796,0.03229729899181281,0.9996752165223185,0.001334450522732759
vicsek,rho_4,4,400,5,2030211,11,3000,0.06127952561122279,1.0,1500,0.06515680491500961,0.034111025984803624,0.9999250499666889,0.0005971942622327866
vicsek,rho_4,4,400,5,2030212,12,3000,0.06008817556794091,1.0,1500,0.06643502545486067,0.032915527043936604,0.999653564290473,0.0013461157462476127
vicsek,rho_4,4,400,5,2030213,13,3000,0.03474851228899869,1.0,1500,0.06729966896826245,0.03573459627905445,0.9993704197201866,0.0017491878072582064
vicsek,rho_4,4,400,5,2030214,14,3000,0.021759620560250333,1.0,1500,0.06546782308991492,0.034148127751215736,0.9997435043304463,0.0011068044546112925
vicsek,rho_4,4,400,5,2030215,15,3000,0.08357539239929741,1.0,1500,0.06510704971357391,0.03507094308229574,0.9998700866089274,0.0005548927720754213
vicsek,rho_4,4,400,5,2030216,16,3000,0.06391026955517494,1.0,1500,0.06684549730952004,0.03434010167888883,0.9999050632911393,0.0007034328687167135
vicsek,rho_4,4,400,5,2030217,17,3000,0.03829502208775097,1.0,1500,0.06624027144376769,0.03527830096472717,0.9999900066622252,0.0001577449765829623
vicsek,rho_4,4,400,5,2030218,18,3000,0.03523942407245626,1.0,1500,0.06916601681133105,0.034734231459138,0.9997101932045304,0.001334704114251061
vicsek,rho_4,4,400,5,2030219,19,3000,0.046147951054770944,1.0,1500,0.06734760933917087,0.033145512500405976,0.9999966688874083,0.00012901343591630314
vicsek,rho_8,8,800,1,2060000,0,3000,0.05016811072666132,1.0,1500,0.9542758619498544,0.0026613497870069595,0.9997768154563624,0.0005880121425059496
vicsek,rho_8,8,800,1,2060001,1,3000,0.01997139079860704,1.0,1500,0.9529075414906075,0.0030601922952179224,0.9999675216522319,0.00019885444836976196
