model,rho_label,rho_nominal,N,eta,base_seed,realization,steps,va_t0,S_t0,t_window_start,va_window_mean,va_window_stdev,S_window_mean,S_window_stdev,source_run
voter,rho_2,2,200,0.10000000000000001,1200105,5,3000,0.10270848348478032,1.0,1500,0.9133703775898065,0.10287326331622505,0.9845502998001332,0.04474050915524333,final_fine_grid_steps3000_R20_v1
voter,rho_2,2,200,0.10000000000000001,1200106,6,3000,0.1210522205399398,0.995,1500,0.9241929675769075,0.06434397443918848,0.9979680213191207,0.010799254330098658,final_fine_grid_steps3000_R20_v1
voter,rho_2,2,200,0.10000000000000001,1200107,7,3000,0.08048704292004935,1.0,1500,0.9614773581668984,0.01719982299204489,0.9975183211192539,0.007475509477722088,final_fine_grid_steps3000_R20_v1
voter,rho_2,2,200,0.10000000000000001,1200108,8,3000,0.10851333608266858,0.995,1500,0.9336679579372135,0.0405514498720283,0.9969087275149899,0.00468220550746046,final_fine_grid_steps3000_R20_v1
voter,rho_2,2,200,0.10000000000000001,1200109,9,3000,0.02798727945155456,0.995,1500,0.8970254654014156,0.10546771040505631,0.9547934710193204,0.08933124091608856,final_fine_grid_steps3000_R20_v1
voter,rho_2,2,200,0.10000000000000001,1200110,10,3000,0.05785795099409344,1.0,1500,0.9156553332052658,0.0887601743102784,0.983624250499667,0.06618561546432589,final_fine_grid_steps3000_R20_v1
voter,rho_2,2,200,0.10000000000000001,1200111,11,3000,0.05126331844367378,1.0,1500,0.9240915670484243,0.03492230587310305,0.9687141905396403,0.036388132603429386,final_fine_grid_steps3000_R20_v1
voter,rho_2,2,200,0.10000000000000001,1200112,12,3000,0.054132875126290204,1.0,1500,0.9273338936098543,0.04032470307891672,0.9963191205862758,0.008858505070536803,final_fine_grid_steps3000_R20_v1
voter,rho_2,2,200,0.10000000000000001,1200113,13,3000,0.10153288761963757,0.99,1500,0.9359770779798811,0.04577512253077379,0.9972151898734177,0.00448251423028501,final_fine_grid_steps3000_R20_v1
voter,rho_2,2,200,0.10000000000000001,1200114,14,3000,0.02727056934678429,0.985,1500,0.9109321372648547,0.04586511649754851,0.9887375083277815,0.048827577221510265,final_fine_grid_steps3000_R20_v1
voter,rho_2,2,200,0.10000000000000001,1200115,15,3000,0.11598364588815667,0.975,1500,0.9182198920984744,0.060582963452048125,0.9905296469020654,0.017918944205345417,final_fine_grid_steps3000_R20_v1
voter,rho_2,2,200,0.10000000000000001,1200116,16,3000,0.015529818995041779,0.995,1500,0.9074145193816777,0.03905220866282512,0.9866955363091272,0.03231888353950396,final_fine_grid_steps3000_R20_v1
voter,rho_2,2,200,0.10000000000000001,1200117,17,3000,0.05333565715454455,0.995,1500,0.8799728159657856,0.1357470249171884,0.9939307128580946,0.022450757338853905,final_fine_grid_steps3000_R20_v1
voter,rho_2,2,200,0.10000000000000001,1200118,18,3000,0.08681802539811344,0.96,1500,0.9322590483416918,0.03862517910533107,0.9814090606262492,0.07714226644109706,final_fine_grid_steps3000_R20_v1
voter,rho_2,2,200,0.10000000000000001,1200119,19,3000,0.05808742765460518,1.0,1500,0.9102903748597614,0.050109718457620994,1.0,0.0,final_fine_grid_steps3000_R20_v1
voter,rho_2,2,200,0.14999999999999999,1200200,0,3000,0.014343426037626566,1.0,1500,0.8891325859660835,0.04837788248247493,0.9724417055296469,0.023669472678212625,final_fine_grid_steps3000_R20_v1
voter,rho_2,2,200,0.14999999999999999,1200201,1,3000,0.06588408301102498,1.0,1500,0.8580804816250621,0.13538745539391944,1.0,0.0,final_fine_grid_steps3000_R20_v1
voter,rho_2,2,200,0.14999999999999999,1200202,2,3000,0.09058295662671334,1.0,1500,0.9238213094521502,0.04382436464952483,0.9897768154563624,0.019267053292003,final_fine_grid_steps3000_R20_v1
voter,rho_2,2,200,0.14999999999999999,1200203,3,3000,0.05311024082934223,1.0,1500,0.8629072413062909,0.07553177214106371,0.9744370419720185,0.05879111557140941,final_fine_grid_steps3000_R20_v1
voter,rho_2,2,200,0.14999999999999999,1200204,4,3000,0.08018722139960151,0.975,1500,0.8650159100654758,0.05767131516989028,0.9844270486342438,0.02739959274810106,final_fine_grid_steps3000_R20_v1
voter,rho_2,2,200,0.14999999999999999,1200205,5,3000,0.06369071131368732,0.98,1500,0.8278541356224901,0.17709426960016036,0.9502564956695536,0.04754482613754989,final_fine_grid_steps3000_R20_v1
voter,rho_2,2,200,0.14999999999999999,1200206,6,3000,0.04669018764485143,1.0,1500,0.8769136906964944,0.07781346084522475,0.9945069953364423,0.01615805462341211,final_fine_grid_steps3000_R20_v1
voter,rho_2,2,200,0.14999999999999999,1200207,7,3000,0.043153145830626995,1.0,1500,0.8872738468210932,0.0811589049283555,0.8511325782811459,0.2031576589458438,final_fine_grid_steps3000_R20_v1
voter,rho_2,2,200,0.14999999999999999,1200208,8,3000,0.052238334167943504,0.985,1500,0.7566138249389582,0.18609873267001434,0.9380546302465024,0.1425481194870712,final_fine_grid_steps3000_R20_v1
voter,rho_2,2,200,0.14999999999999999,1200209,9,3000,0.05706814011804593,1.0,1500,0.9057190180282166,0.06175659644722054,0.9684910059960026,0.019926699931010584,final_fine_grid_steps3000_R20_v1
voter,rho_2,2,200,0.14999999999999999,1200210,10,3000,0.08100676050558468,0.985,1500,0.6710739063293074,0.1684220201867975,0.993217854763491,0.010484840790586971,final_fine_grid_steps3000_R20_v1
voter,rho_2,2,200,0.14999999999999999,1200211,11,3000,0.10381858360688896,0.975,1500,0.8124013900759015,0.10078744426297456,0.9991838774150567,0.003975713230583294,final_fine_grid_steps3000_R20_v1
voter,rho_2,2,200,0.14999999999999999,1200212,12,3000,0.10439665355731856,1.0,1500,0.7915848330599065,0.1677978325955536,0.9616655562958029,0.08776116865879478,final_fine_grid_steps3000_R20_v1
voter,rho_2,2,200,0.14999999999999999,1200213,13,3000,0.057477497800071733,1.0,1500,0.8985258328419045,0.04708451686865109,0.9552131912058628,0.07621296199133334,final_fine_grid_steps3000_R20_v1
voter,rho_2,2,200,0.14999999999999999,1200214,14,3000,0.007789879206925876,0.995,1500,0.8518045772278185,0.09388125683048058,0.9710293137908061,0.0580824766236339,final_fine_grid_steps3000_R20_v1
voter,rho_2,2,200,0.14999999999999999,1200215,15,3000,0.07512980164667572,0.97,1500,0.8474760423421921,0.09053461401093661,0.9900266489007328,0.03336800373981428,final_fine_grid_steps3000_R20_v1
voter,rho_2,2,200,0.14999999999999999,1200216,16,3000,0.03665764715902062,0.955,1500,0.7960472239034458,0.0969352075141659,0.9766955363091272,0.06946526439948329,final_fine_grid_steps3000_R20_v1
voter,rho_2,2,200,0.14999999999999999,1200217,17,3000,0.06884026487092365,1.0,1500,0.8183108647195945,0.1553110282488411,0.9806528980679547,0.03820079283052053,final_fine_grid_steps3000_R20_v1
voter,rho_2,2,200,0.14999999999999999,1200218,18,3000,0.02100330058019863,1.0,1500,0.7812646202038056,0.15968365451283836,0.992558294470353,0.02676763770930994,final_fine_grid_steps3000_R20_v1
voter,rho_2,2,200,0.14999999999999999,1200219,19,3000,0.07331666055270793,0.995,1500,0.6957655167473169,0.23019850906306263,0.9736042638241174,0.06360034553763064,final_fine_grid_steps3000_R20_v1
voter,rho_2,2,200,0.20000000000000001,1200300,0,3000,0.008099294134088797,0.985,1500,0.6090163800497796,0.19846105853663865,0.9568820786142571,0.11002909229460951,final_fine_grid_steps3000_R20_v1
voter,rho_2,2,200,0.20000000000000001,1200301,1,3000,0.06593138023747241,0.925,1500,0.7891486064937367,0.1267679919354705,0.9641605596269154,0.06254907363298873,final_fine_grid_steps3000_R20_v1
voter,rho_2,2,200,0.20000000000000001,1200302,2,3000,0.10396313040040676,0.99,1500,0.7044361179681379,0.2058065610613404,0.9752398401065956,0.061610160664533876,final_fine_grid_steps3000_R20_v1
voter,rho_2,2,200,0.20000000000000001,1200303,3,3000,0.027037238652742865,0.995,1500,0.6438709041758806,0.18050237606360064,0.9550466355762826,0.0683860126477328,final_fine_grid_steps3000_R20_v1
voter,rho_2,2,200,0.20000000000000001,1200304,4,3000,0.04739220468105474,0.99,1500,0.7134798665899295,0.15190783491227863,0.9930346435709527,0.012774688668449937,final_fine_grid_steps3000_R20_v1
voter,rho_2,2,200,0.20000000000000001,1200305,5,3000,0.10071674654097514,1.0,1500,0.7900332015180236,0.151246107532689,0.9882111925383078,0.018786858986975637,final_fine_grid_steps3000_R20_v1
voter,rho_2,2,200,0.20000000000000001,1200306,6,3000,0.06484624366966496,1.0,1500,0.6864164901000064,0.20779547406686133,0.993690872751499,0.04139556314637669,final_fine_grid_steps3000_R20_v1
