model,rho_label,eta,t,va_mean,va_stdev
voter,rho_2,0.20000000000000001,1650,0.8022525853695089,0.0996197213941794
voter,rho_2,0.20000000000000001,1700,0.772148523871495,0.13309646312600829
voter,rho_2,0.20000000000000001,1750,0.7892118489232678,0.11408760750505492
voter,rho_2,0.20000000000000001,1800,0.7702415401439048,0.08389470103889311
voter,rho_2,0.20000000000000001,1850,0.7714987925966055,0.12800686605002692
voter,rho_2,0.20000000000000001,1900,0.7858914970128177,0.1351407353439267
voter,rho_2,0.20000000000000001,1950,0.7753668986103752,0.1522473441386552
voter,rho_2,0.20000000000000001,2000,0.7828126284615936,0.13562755104826865
voter,rho_2,0.20000000000000001,2050,0.7881248363991857,0.08792091873069217
voter,rho_2,0.20000000000000001,2100,0.7545049746391219,0.1835615250951125
voter,rho_2,0.20000000000000001,2150,0.7517963472681357,0.17978839309466654
voter,rho_2,0.20000000000000001,2200,0.7351136057584098,0.19152234424705028
voter,rho_2,0.20000000000000001,2250,0.7507031631975207,0.14289087727305935
voter,rho_2,0.20000000000000001,2300,0.7288113197589712,0.19621865948831682
voter,rho_2,0.20000000000000001,2350,0.7050086952366097,0.2146022524083715
voter,rho_2,0.20000000000000001,2400,0.7061560348574906,0.17932667390166263
voter,rho_2,0.20000000000000001,2450,0.6905548601147289,0.23673490919610715
voter,rho_2,0.20000000000000001,2500,0.7851133431160645,0.120738680951707
voter,rho_2,0.20000000000000001,2550,0.7438919869069301,0.14834138771743927
voter,rho_2,0.20000000000000001,2600,0.6932202358597779,0.19098306932734566
voter,rho_2,0.20000000000000001,2650,0.7272909661327651,0.1240148302380477
voter,rho_2,0.20000000000000001,2700,0.6806364437938937,0.18675141381886842
voter,rho_2,0.20000000000000001,2750,0.7147907272389731,0.16715304835668857
voter,rho_2,0.20000000000000001,2800,0.6682288741977155,0.19604512330675503
voter,rho_2,0.20000000000000001,2850,0.7008853472784897,0.17046380643805994
voter,rho_2,0.20000000000000001,2900,0.7440135418577676,0.11136333704349362
voter,rho_2,0.20000000000000001,2950,0.6475706651613595,0.219897869519022
voter,rho_2,0.20000000000000001,3000,0.6163803603784458,0.2206031367968352
voter,rho_2,0.40000000000000002,0,0.06736601721736671,0.043450771156352125
voter,rho_2,0.40000000000000002,50,0.2944837659498064,0.14124572200025956
voter,rho_2,0.40000000000000002,100,0.39772867960735464,0.1898768063627535
voter,rho_2,0.40000000000000002,150,0.40622847686823144,0.21339589012490107
voter,rho_2,0.40000000000000002,200,0.39527334029817185,0.1776816856158276
voter,rho_2,0.40000000000000002,250,0.3606636006089863,0.15323164337411146
voter,rho_2,0.40000000000000002,300,0.42748988202977845,0.22213824035569893
voter,rho_2,0.40000000000000002,350,0.48861517104421903,0.15459286282901097
voter,rho_2,0.40000000000000002,400,0.523388203666745,0.16563412133603544
voter,rho_2,0.40000000000000002,450,0.5179391362970247,0.15674308496991246
voter,rho_2,0.40000000000000002,500,0.5526925483746532,0.14997490415011935
voter,rho_2,0.40000000000000002,550,0.4616169631108768,0.19727429750427486
voter,rho_2,0.40000000000000002,600,0.5035439187657627,0.23779949645723664
voter,rho_2,0.40000000000000002,650,0.46966688438054927,0.13227232289166008
voter,rho_2,0.40000000000000002,700,0.40901822216663747,0.14653687878798136
voter,rho_2,0.40000000000000002,750,0.477961054137818,0.18412275925263788
voter,rho_2,0.40000000000000002,800,0.4510103335919225,0.1811240813525868
voter,rho_2,0.40000000000000002,850,0.45557308034226507,0.18463132154043924
voter,rho_2,0.40000000000000002,900,0.3742588773920378,0.20729596723870888
voter,rho_2,0.40000000000000002,950,0.46883451606238025,0.15606668344755475
voter,rho_2,0.40000000000000002,1000,0.5169554232626876,0.18662896581996113
voter,rho_2,0.40000000000000002,1050,0.4816902428436786,0.1894820955338763
voter,rho_2,0.40000000000000002,1100,0.47596409339056994,0.2246492175166883
voter,rho_2,0.40000000000000002,1150,0.4314879132703918,0.18176133896966468
voter,rho_2,0.40000000000000002,1200,0.45670481893768555,0.17748716594209815
voter,rho_2,0.40000000000000002,1250,0.40977114176659823,0.15098714348928308
voter,rho_2,0.40000000000000002,1300,0.44490044696866377,0.1913431106865556
voter,rho_2,0.40000000000000002,1350,0.47757631885895224,0.15490390537838147
voter,rho_2,0.40000000000000002,1400,0.46054931296435486,0.19353050937242555
voter,rho_2,0.40000000000000002,1450,0.4588896316702309,0.15096191849930388
voter,rho_2,0.40000000000000002,1500,0.4297029308080897,0.17767927160347083
voter,rho_2,0.40000000000000002,1550,0.5263234593818861,0.1854956413762678
voter,rho_2,0.40000000000000002,1600,0.4822049984473663,0.17314365038144008
voter,rho_2,0.40000000000000002,1650,0.45785848276543356,0.14902106497963588
voter,rho_2,0.40000000000000002,1700,0.4933425332672684,0.17494139059858418
