model,rho_nominal,rho_label,rho_effective,N,eta,eta_index,steps,base_seed,realization,returncode,elapsed_s,output_path
voter,2.0,rho_2,2.0,200,2.0,3,3000,1400304,4,0,1.5801,data/pilots/final_voter_base_coarse_v1/voter/rho_2/eta_2/steps_3000/realization_004_seed_1400304
voter,2.0,rho_2,2.0,200,2.0,3,3000,1400305,5,0,1.6068,data/pilots/final_voter_base_coarse_v1/voter/rho_2/eta_2/steps_3000/realization_005_seed_1400305
voter,2.0,rho_2,2.0,200,2.0,3,3000,1400306,6,0,1.5902,data/pilots/final_voter_base_coarse_v1/voter/rho_2/eta_2/steps_3000/realization_006_seed_1400306
voter,2.0,rho_2,2.0,200,2.0,3,3000,1400307,7,0,1.7123,data/pilots/final_voter_base_coarse_v1/voter/rho_2/eta_2/steps_3000/realization_007_seed_1400307
voter,2.0,rho_2,2.0,200,2.0,3,3000,1400308,8,0,1.6615,data/pilots/final_voter_base_coarse_v1/voter/rho_2/eta_2/steps_3000/realization_008_seed_1400308
voter,2.0,rho_2,2.0,200,2.0,3,3000,1400309,9,0,1.5933,data/pilots/final_voter_base_coarse_v1/voter/rho_2/eta_2/steps_3000/realization_009_seed_1400309
voter,2.0,rho_2,2.0,200,2.0,3,3000,1400310,10,0,1.6831,data/pilots/final_voter_base_coarse_v1/voter/rho_2/eta_2/steps_3000/realization_010_seed_1400310
voter,2.0,rho_2,2.0,200,2.0,3,3000,1400311,11,0,1.6024,data/pilots/final_voter_base_coarse_v1/voter/rho_2/eta_2/steps_3000/realization_011_seed_1400311
voter,2.0,rho_2,2.0,200,2.0,3,3000,1400312,12,0,1.5639,data/pilots/final_voter_base_coarse_v1/voter/rho_2/eta_2/steps_3000/realization_012_seed_1400312
voter,2.0,rho_2,2.0,200,2.0,3,3000,1400313,13,0,1.5814,data/pilots/final_voter_base_coarse_v1/voter/rho_2/eta_2/steps_3000/realization_013_seed_1400313
voter,2.0,rho_2,2.0,200,2.0,3,3000,1400314,14,0,1.5695,data/pilots/final_voter_base_coarse_v1/voter/rho_2/eta_2/steps_3000/realization_014_seed_1400314
voter,2.0,rho_2,2.0,200,2.0,3,3000,1400315,15,0,1.57,data/pilots/final_voter_base_coarse_v1/voter/rho_2/eta_2/steps_3000/realization_015_seed_1400315
voter,2.0,rho_2,2.0,200,2.0,3,3000,1400316,16,0,1.6154,data/pilots/final_voter_base_coarse_v1/voter/rho_2/eta_2/steps_3000/realization_016_seed_1400316
voter,2.0,rho_2,2.0,200,2.0,3,3000,1400317,17,0,1.6142,data/pilots/final_voter_base_coarse_v1/voter/rho_2/eta_2/steps_3000/realization_017_seed_1400317
voter,2.0,rho_2,2.0,200,2.0,3,3000,1400318,18,0,1.5981,data/pilots/final_voter_base_coarse_v1/voter/rho_2/eta_2/steps_3000/realization_018_seed_1400318
voter,2.0,rho_2,2.0,200,2.0,3,3000,1400319,19,0,1.6326,data/pilots/final_voter_base_coarse_v1/voter/rho_2/eta_2/steps_3000/realization_019_seed_1400319
voter,2.0,rho_2,2.0,200,3.0,4,3000,1400400,0,0,1.6574,data/pilots/final_voter_base_coarse_v1/voter/rho_2/eta_3/steps_3000/realization_000_seed_1400400
voter,2.0,rho_2,2.0,200,3.0,4,3000,1400401,1,0,1.5566,data/pilots/final_voter_base_coarse_v1/voter/rho_2/eta_3/steps_3000/realization_001_seed_1400401
voter,2.0,rho_2,2.0,200,3.0,4,3000,1400402,2,0,1.5526,data/pilots/final_voter_base_coarse_v1/voter/rho_2/eta_3/steps_3000/realization_002_seed_1400402
voter,2.0,rho_2,2.0,200,3.0,4,3000,1400403,3,0,1.5226,data/pilots/final_voter_base_coarse_v1/voter/rho_2/eta_3/steps_3000/realization_003_seed_1400403
voter,2.0,rho_2,2.0,200,3.0,4,3000,1400404,4,0,1.523,data/pilots/final_voter_base_coarse_v1/voter/rho_2/eta_3/steps_3000/realization_004_seed_1400404
voter,2.0,rho_2,2.0,200,3.0,4,3000,1400405,5,0,1.5027,data/pilots/final_voter_base_coarse_v1/voter/rho_2/eta_3/steps_3000/realization_005_seed_1400405
voter,2.0,rho_2,2.0,200,3.0,4,3000,1400406,6,0,1.5088,data/pilots/final_voter_base_coarse_v1/voter/rho_2/eta_3/steps_3000/realization_006_seed_1400406
voter,2.0,rho_2,2.0,200,3.0,4,3000,1400407,7,0,1.5585,data/pilots/final_voter_base_coarse_v1/voter/rho_2/eta_3/steps_3000/realization_007_seed_1400407
voter,2.0,rho_2,2.0,200,3.0,4,3000,1400408,8,0,1.529,data/pilots/final_voter_base_coarse_v1/voter/rho_2/eta_3/steps_3000/realization_008_seed_1400408
voter,2.0,rho_2,2.0,200,3.0,4,3000,1400409,9,0,1.5186,data/pilots/final_voter_base_coarse_v1/voter/rho_2/eta_3/steps_3000/realization_009_seed_1400409
voter,2.0,rho_2,2.0,200,3.0,4,3000,1400410,10,0,1.5438,data/pilots/final_voter_base_coarse_v1/voter/rho_2/eta_3/steps_3000/realization_010_seed_1400410
voter,2.0,rho_2,2.0,200,3.0,4,3000,1400411,11,0,1.5671,data/pilots/final_voter_base_coarse_v1/voter/rho_2/eta_3/steps_3000/realization_011_seed_1400411
voter,2.0,rho_2,2.0,200,3.0,4,3000,1400412,12,0,1.6009,data/pilots/final_voter_base_coarse_v1/voter/rho_2/eta_3/steps_3000/realization_012_seed_1400412
voter,2.0,rho_2,2.0,200,3.0,4,3000,1400413,13,0,1.5498,data/pilots/final_voter_base_coarse_v1/voter/rho_2/eta_3/steps_3000/realization_013_seed_1400413
voter,2.0,rho_2,2.0,200,3.0,4,3000,1400414,14,0,1.6061,data/pilots/final_voter_base_coarse_v1/voter/rho_2/eta_3/steps_3000/realization_014_seed_1400414
voter,2.0,rho_2,2.0,200,3.0,4,3000,1400415,15,0,1.5566,data/pilots/final_voter_base_coarse_v1/voter/rho_2/eta_3/steps_3000/realization_015_seed_1400415
voter,2.0,rho_2,2.0,200,3.0,4,3000,1400416,16,0,1.6875,data/pilots/final_voter_base_coarse_v1/voter/rho_2/eta_3/steps_3000/realization_016_seed_1400416
voter,2.0,rho_2,2.0,200,3.0,4,3000,1400417,17,0,1.69,data/pilots/final_voter_base_coarse_v1/voter/rho_2/eta_3/steps_3000/realization_017_seed_1400417
voter,2.0,rho_2,2.0,200,3.0,4,3000,1400418,18,0,1.6289,data/pilots/final_voter_base_coarse_v1/voter/rho_2/eta_3/steps_3000/realization_018_seed_1400418
voter,2.0,rho_2,2.0,200,3.0,4,3000,1400419,19,0,1.6179,data/pilots/final_voter_base_coarse_v1/voter/rho_2/eta_3/steps_3000/realization_019_seed_1400419
